id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/13/value,qualifier/10/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2727828785,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-29T11:22:40.641Z,2024-09-29T11:55:27Z,,,,,5252078807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252078805,130,2,5252196653,194,a87w6l9zsbahdi4knm1347zs9,5252078809,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252078803,59,"16, 43, 55, 5, 3, 22, 20, 17, 25, 7, 58, 1, 4, 6, 13, 14, 19, 21, 53, 33",5252078801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5252078799,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, 8mn8apr6n7t7s6lx4d4vvdnca, arhoud4vfjvmjaf2pkbm6s48a, c3sp1x0shf2b24rl5ike6v0iy, a87w6l9zsbahdi4knm1347zs9, e73sexp7kse0wlykdi7xcbg2c, 5cjx2i2perp5vr62en4cyer1m, 10esz9pvzonegry7p78n3ce09, 1sdsqfn743j5tqem8ra7sppn8, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, ddl5g7raihnc9s4u3wetz8v10, 8yfw9f74h0yfz51bkxxc8p39x, bidudbkachfl6126lhlr254wk, bcscjb9jdgu4ims9n3vwuj5k9, bwfg9frq2ecbzg7wlzqjtnv2s, 78kzajya12k4sm0ebfl37d6ok, 7qgiqoaaarr6c2bs4yffqwju2, 7574bxep9nzun9uhbnhy01no4",5252196655,197,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727829289,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-09-29T11:23:57.769Z,2024-09-29T12:00:48Z,,,,,5252081539,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252081541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5252081533,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5252081531,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, 4n3t1p3zn5yzjv4w0clo3xvjd, 5f3wfx327z9hef9k9l37c90wl, bp2ellllifbtxgf0p8qlbm1nt, auk14ut8cwaqop549u2zmfgt1, vrzye4jqrafujmjw3wakjpxw, 3bvc29bootgmo9tsapvygvnu2, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, 9qskwuil30g48xr3ax5p9j6j9, wnin2353js3p5rh4d7e2ymwa, 7w7ufa4v85hmj1qxnmqc4zgiy, 5m27f84vvraap8bmfujt1qiok, 6d8194j12jdzgqk5uwcemecr8, 9o10vhew3jar8tqnkabw0qoyx, acp1ba2irpv5wfmxke7ucmaga, b6q0tf252xvikt39g8jevju38",5252213201,197,11498,5252081537,130,4,5252081535,59,"16, 18, 24, 13, 55, 4, 12, 28, 11, 7, 10, 1, 2, 6, 8, 14, 17, 19, 23, 37",5252214323,194,5f3wfx327z9hef9k9l37c90wl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855041,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-09-29T12:00:52.939Z,2024-09-29T12:00:55Z,,,,,5252214689,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855037,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-29T12:00:52.939Z,2024-09-29T16:25:47Z,,,,,5252214677,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855105,3,1,1,0,0,59as3grjvj19voay31j3yfgni,1,49.9,50.1,2024-09-29T12:00:53.252Z,2024-09-29T12:00:56Z,10esz9pvzonegry7p78n3ce09,J. Kuchta,,,5252214957,141,55.4,5252214963,279,S,5252214955,140,34.8,5252214961,213,2.92,5252214959,212,16.3,5252214953,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855141,4,1,1,0,3,59as3grjvj19voay31j3yfgni,1,34.7,55.4,2024-09-29T12:00:56.512Z,2024-09-29T12:00:59Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5252215177,212,45.5,5252215175,141,4.9,5252215181,1,,5252215169,155,,5252215179,213,5.43,5252215173,140,63.1,5252215171,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855147,5,44,1,0,6,59as3grjvj19voay31j3yfgni,1,62.2,6.4,2024-09-29T12:00:59.424Z,2024-09-29T12:25:03Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5252215211,286,,5252215209,56,Right,5252215235,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855149,3,44,1,0,6,cftj6g399tknheudaxsdpfdgb,0,37.8,93.6,2024-09-29T12:00:59.425Z,2024-09-29T12:25:03Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5252215221,56,Back,5252215259,233,5,5252215223,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855163,6,1,1,0,6,59as3grjvj19voay31j3yfgni,0,63.0,5.6,2024-09-29T12:00:59.694Z,2024-09-29T12:01:00Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5252215299,3,,5252215301,56,Right,5252215303,140,76.5,5252215305,141,11.0,5252215307,212,14.6,5252215309,213,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855183,4,1,1,0,8,cftj6g399tknheudaxsdpfdgb,0,25.0,91.2,2024-09-29T12:01:01.625Z,2024-09-29T12:01:02Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5252215381,56,Back,5252215383,140,26.8,5252215389,213,4.84,5252215391,1,,5252215385,141,69.6,5252215387,212,14.8,5252215379,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855265,7,1,1,0,9,59as3grjvj19voay31j3yfgni,1,77.4,32.3,2024-09-29T12:01:02.784Z,2024-09-29T17:16:09Z,10esz9pvzonegry7p78n3ce09,J. Kuchta,1.0,,5252215897,212,17.7,5252216915,210,15,5252215895,141,18.2,5252215899,213,5.71,5252215891,56,Right,5252215893,140,91.6,5252215889,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855269,8,15,1,0,15,59as3grjvj19voay31j3yfgni,1,92.1,29.7,2024-09-29T12:01:08.529Z,2024-09-29T17:16:42Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5252216971,103,19,5252215913,22,,5252216979,230,99.1,5252223211,121,,5252216957,29,,5252216969,102,53.8,5252216981,231,50,5252215915,63,,5252215917,56,Center,5252293939,233,5,5252216973,100,5252216317,82,5252216975,146,95.4,5252223213,76,5252216313,72,5252216977,147,39.7,5252216963,55,7,,,,,,,,,,
2727855363,5,10,1,0,15,cftj6g399tknheudaxsdpfdgb,1,4.2,56.9,2024-09-29T12:01:08.629Z,2024-09-29T13:57:21Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5252216323,94,,5252216325,56,Back,5252293957,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855427,6,6,1,0,16,cftj6g399tknheudaxsdpfdgb,0,2.2,64.8,2024-09-29T12:01:09.394Z,2024-09-29T17:17:11Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5252216705,73,,5252216703,56,Back,5252293821,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855283,9,6,1,0,16,59as3grjvj19voay31j3yfgni,1,97.8,35.2,2024-09-29T12:01:09.394Z,2024-09-29T12:25:13Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5252216083,56,Center,5252216085,75,,5252293797,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855729,10,1,1,0,45,59as3grjvj19voay31j3yfgni,1,99.5,0.5,2024-09-29T12:01:38.369Z,2024-09-29T12:11:04Z,e73sexp7kse0wlykdi7xcbg2c,V. Byskov,,,5252218265,213,2.12,5252218259,140,90.8,5252218261,141,22.4,5252218255,6,,5252218263,212,17.5,5252218257,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855735,11,1,1,0,47,59as3grjvj19voay31j3yfgni,1,91.2,27.4,2024-09-29T12:01:40.673Z,2024-09-29T17:18:28Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5252218291,141,15.8,5252218287,56,Right,5252218293,212,8.7,5252218295,213,5.14,5252218289,140,94.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855775,12,1,1,0,49,59as3grjvj19voay31j3yfgni,0,92.5,14.1,2024-09-29T12:01:42.657Z,2024-09-29T17:19:07Z,e73sexp7kse0wlykdi7xcbg2c,V. Byskov,,,5252218539,141,27.2,5252218533,155,,5252218541,212,8.9,5252218543,213,1.64,5252218531,2,,5254394455,224,,5252218537,140,91.9,5252218535,56,Center,5254394457,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727855767,7,61,1,0,49,cftj6g399tknheudaxsdpfdgb,1,8.4,74.2,2024-09-29T12:01:42.793Z,2024-09-29T12:01:42Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5252218495,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728257015,952,1,1,0,50,59as3grjvj19voay31j3yfgni,1,85.3,27.1,2024-09-29T12:01:42.986Z,2024-09-29T17:19:29Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5254396637,141,15.9,5254396645,213,5.43,5254396635,140,91.6,5254396631,3,,5254396641,212,10.1,5254396633,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728257767,782,83,1,0,52,cftj6g399tknheudaxsdpfdgb,1,8.4,84.1,2024-09-29T12:01:45.718Z,2024-09-29T17:20:10Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5254400869,399,e73sexp7kse0wlykdi7xcbg2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727856125,8,27,1,1,10,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-09-29T12:02:03.933Z,2024-09-29T12:02:13Z,,,,,5252220729,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727856247,13,27,1,1,10,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-29T12:02:03.933Z,2024-09-29T12:02:13Z,,,,,5252220693,201,,5252220695,40,,5252220719,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727856237,9,28,1,1,32,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-09-29T12:02:25.765Z,2024-09-29T12:25:13Z,,,,,5252360913,233,14,5252220643,55,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727856501,14,28,1,1,32,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-29T12:02:25.765Z,2024-09-29T12:25:12Z,,,,,5252360903,233,9,5252222013,55,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727856767,15,43,1,1,46,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-29T12:02:39.396Z,2024-09-29T12:02:43Z,,,,,5252223803,144,68,5252223563,189,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857305,17,1,1,2,10,59as3grjvj19voay31j3yfgni,1,67.4,7.9,2024-09-29T12:03:03.860Z,2024-09-29T12:03:07Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5252226189,140,58.1,5252226195,213,2.51,5252226193,212,12.1,5252226187,56,Right,5252226191,141,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857339,18,1,1,2,14,59as3grjvj19voay31j3yfgni,1,58.4,25.0,2024-09-29T12:03:06.996Z,2024-09-29T17:21:17Z,arhoud4vfjvmjaf2pkbm6s48a,E. Martínez,,,5252226377,1,,5252226375,213,2.04,5252226373,212,35.6,5252226367,56,Back,5252226371,141,71.8,5252226369,140,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857375,19,1,1,2,16,59as3grjvj19voay31j3yfgni,1,40.7,75.7,2024-09-29T12:03:09.172Z,2024-09-29T12:03:12Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5252226575,141,97.4,5252226573,140,51.4,5252226571,56,Left,5252226577,212,18.5,5252226579,213,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857443,20,1,1,2,19,59as3grjvj19voay31j3yfgni,1,50.9,96.5,2024-09-29T12:03:12.052Z,2024-09-29T12:03:15Z,8mn8apr6n7t7s6lx4d4vvdnca,V. Bak Jensen,,,5252226923,212,12.8,5252226925,213,6.11,5252226921,141,93.3,5252226917,56,Left,5252226919,140,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857497,21,1,1,2,22,59as3grjvj19voay31j3yfgni,1,62.0,72.6,2024-09-29T12:03:15.380Z,2024-09-29T12:03:17Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5252227231,141,32.8,5252227233,212,28.2,5252227235,213,4.99,5252227227,56,Center,5252227229,140,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857523,22,1,1,2,24,59as3grjvj19voay31j3yfgni,0,70.4,33.0,2024-09-29T12:03:17.748Z,2024-09-29T12:03:19Z,e73sexp7kse0wlykdi7xcbg2c,V. Byskov,,,5252227367,212,21.6,5252227369,213,0.44,5252227363,140,89.0,5252227365,141,46.6,5252227361,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857533,10,52,1,2,26,cftj6g399tknheudaxsdpfdgb,1,12.0,52.8,2024-09-29T12:03:19.369Z,2024-09-29T17:21:49Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5254411317,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857607,11,1,1,2,28,cftj6g399tknheudaxsdpfdgb,1,15.0,57.6,2024-09-29T12:03:21.448Z,2024-09-29T12:03:23Z,dk9nlp77b6q38p751f8w3o8np,O. Hedvall,,,5252227789,56,Back,5252227795,212,16.2,5252227793,141,78.5,5252227791,140,22.4,5252227787,123,,5252227797,213,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857689,12,1,1,2,30,cftj6g399tknheudaxsdpfdgb,1,25.3,82.9,2024-09-29T12:03:23.336Z,2024-09-29T12:03:26Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5252228207,56,Back,5252228211,141,81.5,5252228215,212,8.3,5252228209,140,33.2,5252228217,213,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857755,13,1,1,2,33,cftj6g399tknheudaxsdpfdgb,0,31.9,91.8,2024-09-29T12:03:26.760Z,2024-09-29T12:03:29Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5252228537,1,,5252228527,56,Center,5252228529,140,65.4,5252228531,141,78.5,5252228533,212,36.3,5252228535,213,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857859,24,1,1,2,38,59as3grjvj19voay31j3yfgni,0,33.9,7.3,2024-09-29T12:03:31.637Z,2024-09-29T12:03:34Z,c3sp1x0shf2b24rl5ike6v0iy,Lee Han-Beom,,,5252229043,212,30.3,5252229041,141,5.6,5252229039,140,62.7,5252229045,213,6.24,5252229035,157,,5252229037,56,Right,5252229047,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857893,14,8,1,2,42,cftj6g399tknheudaxsdpfdgb,1,40.6,96.2,2024-09-29T12:03:35.546Z,2024-09-29T17:22:38Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5254416045,383,,5252229193,56,Back,5252229245,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857939,15,1,1,2,43,cftj6g399tknheudaxsdpfdgb,0,38.2,95.3,2024-09-29T12:03:36.760Z,2024-09-29T12:03:37Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5252229429,56,Back,5252229439,1,,5252229427,157,,5252229437,213,5.54,5252229433,141,80.2,5252229435,212,15.1,5252229431,140,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727857977,25,1,1,2,45,59as3grjvj19voay31j3yfgni,0,58.0,28.6,2024-09-29T12:03:37.973Z,2024-09-29T12:03:39Z,5cjx2i2perp5vr62en4cyer1m,K. Askildsen,,,5252229625,213,0.54,5252229621,212,18.2,5252229607,56,Center,5252229611,140,72.8,5252229615,141,42.4,5252229605,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858001,16,1,1,2,46,cftj6g399tknheudaxsdpfdgb,1,31.4,61.8,2024-09-29T12:03:39.896Z,2024-09-29T12:03:41Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5252229743,212,12.2,5252229741,141,78.5,5252229739,140,35.6,5252229745,213,1.20,5252229735,3,,5252229737,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858057,17,1,1,2,48,cftj6g399tknheudaxsdpfdgb,0,35.6,78.5,2024-09-29T12:03:41.048Z,2024-09-29T12:03:43Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5252230027,56,Back,5252230029,140,37.0,5252230031,141,70.6,5252230035,213,4.98,5252230033,212,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858087,18,61,1,2,49,cftj6g399tknheudaxsdpfdgb,1,36.9,71.1,2024-09-29T12:03:42.893Z,2024-09-29T17:23:10Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5252230191,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858061,26,1,1,2,50,59as3grjvj19voay31j3yfgni,0,65.6,15.9,2024-09-29T12:03:43.525Z,2024-09-29T12:03:43Z,arhoud4vfjvmjaf2pkbm6s48a,E. Martínez,,,5252230053,157,,5252230065,1,,5252230059,141,16.7,5252230063,213,0.35,5252230055,56,Right,5252230061,212,1.6,5252230057,140,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858177,19,5,1,2,51,cftj6g399tknheudaxsdpfdgb,0,29.0,101.5,2024-09-29T12:03:44.901Z,2024-09-29T12:25:06Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5252230635,347,,5252230633,56,Back,5252294301,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858095,27,5,1,2,51,59as3grjvj19voay31j3yfgni,1,71.0,-1.5,2024-09-29T12:03:44.901Z,2024-09-29T12:25:06Z,arhoud4vfjvmjaf2pkbm6s48a,E. Martínez,,,5252230229,347,,5252294267,233,19,5252230227,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858189,28,1,1,2,54,59as3grjvj19voay31j3yfgni,0,71.3,0.0,2024-09-29T12:03:47.349Z,2024-09-29T12:03:55Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5252230665,107,,5252230677,212,21.1,5252230681,213,0.43,5252230669,140,89.5,5252230667,56,Right,5252230671,141,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858179,20,8,1,2,56,cftj6g399tknheudaxsdpfdgb,1,7.3,85.7,2024-09-29T12:03:49.688Z,2024-09-29T17:23:45Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5254422117,383,,5252230643,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858249,21,1,1,2,58,cftj6g399tknheudaxsdpfdgb,1,3.4,85.7,2024-09-29T12:03:51.689Z,2024-09-29T12:03:53Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5252230951,56,Back,5252230953,140,8.4,5252230959,213,0.29,5252230955,141,88.0,5252230957,212,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858329,23,1,1,3,1,cftj6g399tknheudaxsdpfdgb,0,7.8,91.8,2024-09-29T12:03:54.201Z,2024-09-29T12:03:56Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,,5252231327,140,42.5,5252231325,56,Back,5252231335,1,,5252231329,141,92.7,5252231331,212,36.4,5252231323,157,,5252231333,213,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858371,29,1,1,3,4,59as3grjvj19voay31j3yfgni,1,56.3,13.2,2024-09-29T12:03:57.285Z,2024-09-29T12:03:59Z,c3sp1x0shf2b24rl5ike6v0iy,Lee Han-Beom,,,5252231589,140,76.0,5252231593,212,21.2,5252231591,141,6.5,5252231585,3,,5252231595,213,6.07,5252231587,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858417,30,1,1,3,6,59as3grjvj19voay31j3yfgni,1,76.9,5.8,2024-09-29T12:03:59.141Z,2024-09-29T12:04:01Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5252231819,140,71.6,5252231829,213,2.49,5252231821,141,12.0,5252231817,56,Right,5252231815,3,,5252231825,212,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858499,32,1,1,3,8,59as3grjvj19voay31j3yfgni,1,70.7,12.6,2024-09-29T12:04:01.349Z,2024-09-29T12:04:05Z,arhoud4vfjvmjaf2pkbm6s48a,E. Martínez,,,5252232223,56,Center,5252232231,213,2.06,5252232233,1,,5252232229,212,32.1,5252232225,140,56.4,5252232227,141,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858585,35,4,1,3,11,59as3grjvj19voay31j3yfgni,1,55.2,56.6,2024-09-29T12:04:04.743Z,2024-09-29T12:24:56Z,5cjx2i2perp5vr62en4cyer1m,K. Askildsen,,,5252232819,233,24,5252232769,152,,5252232767,56,Center,5252232771,265,,5252232773,286,,5252232765,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858575,24,4,1,3,11,cftj6g399tknheudaxsdpfdgb,0,44.8,43.4,2024-09-29T12:04:04.744Z,2024-09-29T12:24:57Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5252232583,13,,5252232589,265,,5252232591,285,,5252232585,56,Back,5252232587,152,,5252232825,233,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858545,33,43,1,3,12,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-29T12:04:05.301Z,2024-09-29T12:05:14Z,5cjx2i2perp5vr62en4cyer1m,K. Askildsen,,,5252239023,144,1,5252232439,212,8.2,5252232441,213,0.45,5252232433,56,Center,5252232437,141,64.2,5252232435,140,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858559,34,43,1,3,14,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-29T12:04:07.158Z,2024-09-29T12:05:14Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5252232503,56,Center,5252238983,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858679,36,1,1,3,21,59as3grjvj19voay31j3yfgni,1,57.4,65.7,2024-09-29T12:04:14.406Z,2024-09-29T12:08:10Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5252233191,140,55.3,5252233193,141,57.5,5252233189,56,Center,5252233187,152,,5252233195,212,6.0,5252233197,213,4.34,5252233185,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858691,37,1,1,3,22,59as3grjvj19voay31j3yfgni,1,47.3,59.3,2024-09-29T12:04:15.030Z,2024-09-29T12:08:11Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5252233255,212,8.3,5252233253,141,67.3,5252233249,56,Center,5252233251,140,53.3,5252233257,213,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858779,38,1,1,3,24,59as3grjvj19voay31j3yfgni,1,58.0,73.6,2024-09-29T12:04:17.126Z,2024-09-29T12:04:20Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5252233745,140,60.9,5252233743,56,Left,5252233747,141,93.6,5252233749,212,13.9,5252233751,213,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727858795,39,1,1,3,27,59as3grjvj19voay31j3yfgni,1,59.9,91.7,2024-09-29T12:04:20.614Z,2024-09-29T12:04:21Z,8mn8apr6n7t7s6lx4d4vvdnca,V. Bak Jensen,,,5252233827,56,Back,5252233829,140,39.1,5252233831,141,65.1,5252233835,213,3.83,5252233833,212,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
