id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2797070913,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-06T11:05:43.682Z,2025-04-06T12:11:29Z,,,,,5629612113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629612111,130,13,5629612117,197,25072,5629612119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629612105,30,"a0vo94v0vvnojrnvvscd7zp3p, eyqeg6wzhjibkt4zs5dfgzc9h, 6oaqk4pdojnlefa3zubsysmvp, eahcgnvlq1tkswvjuovyzxxw5, cwkz9uxtres4bockr3spd4hxx, b11ffe62rpm020r3u6t1lhvx1, 99i96gbkvesmh3wspv8rl1ln9, 8ez1awevbmegf1z0kgjtp048a, azvjk1schroxi2dq22hwnqr1m, alxccjq2y6il5yjw108a0axnt, 67w8t2dyivgz6muc431ofsb2s, 7gbgk4q4bxc1h7kcd0u96o9nt, eqfhoh81e8uj2as95ev3yfnx1, b0rem4wo1p6sumrp6mb77f11w, prvbf3gxwflgzxuvgvb7ls5x, 3xx0l8c30mjstvxq7z1s0fnit, 2l14t89f2n27b28xqfguvr4es, 642iajthdnr0zophv7ys35q1g, 3hz7fbme9sm4xkj5fo3moeluc, 6utvjndbc0etrvdrul1oajdp0",5629612115,194,99i96gbkvesmh3wspv8rl1ln9,5629612109,59,"15, 19, 22, 32, 4, 17, 7, 33, 9, 8, 24, 30, 3, 5, 10, 11, 21, 26, 43, 47",5629612107,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2797072145,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-04-06T11:07:49.153Z,2025-04-06T11:07:49Z,,,,,5629618929,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629618923,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5629618921,30,"3qlfkqrawehngfhe1zmy1a61g, 7a08ravzlia5dhw5dm1q707pw, 3hn1o03lxsjzju3uorl6rnpxw, ekiy8mogxcfn05kwouydbdwr8, 4er21aspnwqojlenu6lhc2b4l, bfnqlxk0wiv1uy0ptwwqhk9hw, ez7xc7vakt4fmabtp61w72yju, 5jv0xmo83g4lbzo8nodqbh46i, 8ntq70sdmvbmmvchvu5jd6ndh, 2k1v6526ielemu1w3rayxdkkq, ay6mgdylpu08d9pydxejbd562, b8022a60ucgg0syjuj2m85atw, 2lafgzvhv0er31i6c2nb6xqfo, sxahqo62pj3wu3yfeah4fiay, 3kgwkv2bjw5h244h675kmsclx, 9d08simhpio6vi217mqtro6ad, a2ggooyqi2s1berhxtm75j5qt, 3yr67mc539f140lpoowkrtgyc, 7e058o66inex7g90wrwaeauw9, 4xkiduv00nq24op9s8nuxbqxg",5629618927,130,4,5629618935,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629618931,194,8ntq70sdmvbmmvchvu5jd6ndh,5629618933,197,24931,5629618925,59,"40, 37, 14, 20, 19, 2, 11, 21, 5, 15, 8, 30, 3, 4, 7, 9, 10, 18, 24, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113793,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-06T12:04:43.407Z,2025-04-06T12:04:43Z,,,,,5629830355,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113811,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-04-06T12:04:43.407Z,2025-04-06T12:04:46Z,,,,,5629830427,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113845,3,1,1,0,0,7hlumphk42363z3i2nry2wrzj,1,50.1,49.7,2025-04-06T12:04:43.408Z,2025-04-06T15:07:14Z,ez7xc7vakt4fmabtp61w72yju,I. Lushaku,,,5629830575,56,Back,5629830581,212,20.7,5629830583,213,3.35,5629830577,140,30.8,5629830585,279,S,5629830579,141,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113925,4,1,1,0,4,7hlumphk42363z3i2nry2wrzj,0,31.0,43.3,2025-04-06T12:04:47.440Z,2025-04-06T12:04:49Z,4er21aspnwqojlenu6lhc2b4l,M. Watson,,,5629830999,155,,5629831005,56,Left,5629831019,213,0.73,5629831013,141,100.0,5629831023,1,,5629831015,212,58.4,5629831009,140,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113945,3,5,1,0,5,5mbo4f0vps12dr0fcvjn3wyp5,1,28.8,-1.2,2025-04-06T12:04:49.318Z,2025-04-06T12:06:25Z,alxccjq2y6il5yjw108a0axnt,J. Hove,,,5629831087,56,Back,5629831091,347,,5629831147,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113933,5,5,1,0,5,7hlumphk42363z3i2nry2wrzj,0,71.2,101.2,2025-04-06T12:04:49.318Z,2025-04-06T12:04:53Z,4er21aspnwqojlenu6lhc2b4l,M. Watson,,,5629831061,347,,5629831059,56,Left,5629831191,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114061,4,1,1,0,9,5mbo4f0vps12dr0fcvjn3wyp5,1,29.1,0.0,2025-04-06T12:04:53.170Z,2025-04-06T12:04:56Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,,5629831713,212,16.4,5629831711,141,18.3,5629831717,213,2.22,5629831705,56,Back,5629831709,140,19.7,5629831703,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114119,5,1,1,0,13,5mbo4f0vps12dr0fcvjn3wyp5,1,16.7,18.9,2025-04-06T12:04:56.626Z,2025-04-06T12:05:02Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5629831999,212,26.0,5629831993,56,Back,5629831997,141,52.4,5629831995,140,4.8,5629832001,213,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114171,6,1,1,0,18,5mbo4f0vps12dr0fcvjn3wyp5,0,8.4,61.7,2025-04-06T12:05:01.843Z,2025-04-06T12:05:07Z,a0vo94v0vvnojrnvvscd7zp3p,K. Nordfeldt,,,5629832267,56,Back,5629832281,1,,5629832269,140,46.6,5629832265,157,,5629832273,212,40.7,5629832271,141,71.5,5629832277,213,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114163,6,44,1,0,21,7hlumphk42363z3i2nry2wrzj,1,54.8,32.5,2025-04-06T12:05:05.007Z,2025-04-06T12:05:08Z,5jv0xmo83g4lbzo8nodqbh46i,J. Ceesay,,,5629832219,286,,5629832213,56,Center,5629832371,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114179,7,44,1,0,21,5mbo4f0vps12dr0fcvjn3wyp5,0,43.9,63.5,2025-04-06T12:05:05.008Z,2025-04-06T12:05:07Z,azvjk1schroxi2dq22hwnqr1m,A. Kakoullis,,,5629832391,233,6,5629832337,285,,5629832335,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114175,7,1,1,0,22,7hlumphk42363z3i2nry2wrzj,0,58.8,44.5,2025-04-06T12:05:05.441Z,2025-04-06T12:05:06Z,5jv0xmo83g4lbzo8nodqbh46i,J. Ceesay,,,5629832317,213,2.89,5629832313,141,50.1,5629832311,140,44.8,5629832307,3,,5629832309,56,Back,5629832315,212,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114201,8,1,1,0,24,5mbo4f0vps12dr0fcvjn3wyp5,0,53.3,69.6,2025-04-06T12:05:08.275Z,2025-04-06T12:05:09Z,azvjk1schroxi2dq22hwnqr1m,A. Kakoullis,,,5629832461,56,Center,5629832463,140,54.6,5629832467,212,1.7,5629832535,233,8,5629832469,213,0.64,5629832465,141,71.1,5629832539,286,,5629832533,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114207,8,74,1,0,24,7hlumphk42363z3i2nry2wrzj,1,36.7,37.6,2025-04-06T12:05:08.276Z,2025-04-06T12:28:51Z,7a08ravzlia5dhw5dm1q707pw,M. Neffati,,,5629832543,233,8,5629832487,285,,5629832485,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116421,19,61,1,0,27,5mbo4f0vps12dr0fcvjn3wyp5,1,57.3,68.1,2025-04-06T12:05:10.881Z,2025-04-06T12:07:39Z,azvjk1schroxi2dq22hwnqr1m,A. Kakoullis,,,5629849191,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114287,10,1,1,0,28,7hlumphk42363z3i2nry2wrzj,0,33.5,36.6,2025-04-06T12:05:11.928Z,2025-04-06T12:08:19Z,ez7xc7vakt4fmabtp61w72yju,I. Lushaku,,,5629832923,141,40.6,5629853273,233,28,5629853271,236,,5629832921,140,38.8,5629853277,286,,5629832927,213,0.45,5629832925,212,6.2,5629832917,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797117671,28,74,1,0,28,5mbo4f0vps12dr0fcvjn3wyp5,1,58.5,76.7,2025-04-06T12:05:11.929Z,2025-04-06T12:28:51Z,67w8t2dyivgz6muc431ofsb2s,A. Redkin,,,5629853247,56,Center,5629853311,233,10,5629853251,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114267,9,61,1,0,29,5mbo4f0vps12dr0fcvjn3wyp5,0,57.8,68.1,2025-04-06T12:05:12.737Z,2025-04-06T12:05:12Z,8ez1awevbmegf1z0kgjtp048a,Á. Csongvai,,,5629832823,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114339,11,1,1,0,31,7hlumphk42363z3i2nry2wrzj,0,31.3,18.3,2025-04-06T12:05:14.528Z,2025-04-06T12:08:32Z,ez7xc7vakt4fmabtp61w72yju,I. Lushaku,,,5629833205,213,0.63,5629854539,155,,5629833199,140,76.7,5629833197,56,Center,5629833207,1,,5629833201,141,69.1,5629833203,212,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114403,10,1,1,0,33,5mbo4f0vps12dr0fcvjn3wyp5,1,25.2,36.8,2025-04-06T12:05:17.090Z,2025-04-06T12:09:00Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,,5629833529,212,13.2,5629833521,157,,5629833523,56,Back,5629833527,141,42.3,5629833525,140,37.3,5629833531,213,0.29,5629833533,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797118671,38,61,1,0,35,5mbo4f0vps12dr0fcvjn3wyp5,0,35.2,50.9,2025-04-06T12:05:19.106Z,2025-04-06T12:09:05Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5629858023,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114465,12,1,1,0,36,7hlumphk42363z3i2nry2wrzj,1,61.8,39.7,2025-04-06T12:05:19.680Z,2025-04-06T12:05:21Z,5jv0xmo83g4lbzo8nodqbh46i,J. Ceesay,,,5629833837,141,38.3,5629833845,213,6.19,5629833831,56,Center,5629833833,140,71.2,5629833841,212,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114483,13,1,1,0,38,7hlumphk42363z3i2nry2wrzj,1,71.2,38.3,2025-04-06T12:05:21.648Z,2025-04-06T12:05:22Z,8ntq70sdmvbmmvchvu5jd6ndh,C. Nyman,,,5629833985,212,14.9,5629833979,56,Center,5629833987,213,1.84,5629833981,140,67.5,5629833983,141,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114509,14,1,1,0,39,7hlumphk42363z3i2nry2wrzj,1,67.5,59.4,2025-04-06T12:05:22.656Z,2025-04-06T12:05:24Z,ekiy8mogxcfn05kwouydbdwr8,A. Brönner,,,5629834139,56,Center,5629834145,212,13.3,5629834147,213,1.91,5629834141,140,63.3,5629834143,141,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114595,15,1,1,0,40,7hlumphk42363z3i2nry2wrzj,1,63.3,77.5,2025-04-06T12:05:24.160Z,2025-04-06T12:05:28Z,3hn1o03lxsjzju3uorl6rnpxw,Y. Kalley,,,5629834567,140,74.3,5629834569,141,94.1,5629834565,56,Left,5629834571,212,16.1,5629834573,213,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114639,16,1,1,0,45,7hlumphk42363z3i2nry2wrzj,0,76.0,92.4,2025-04-06T12:05:28.576Z,2025-04-06T12:05:30Z,ay6mgdylpu08d9pydxejbd562,Í. Sigurgeirsson,,,5629834787,141,37.0,5629834783,56,Center,5629834781,155,,5629834793,1,,5629834791,213,5.31,5629834789,212,45.6,5629834785,140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797114651,11,5,1,0,47,5mbo4f0vps12dr0fcvjn3wyp5,1,-1.0,63.3,2025-04-06T12:05:30.683Z,2025-04-06T12:06:25Z,eyqeg6wzhjibkt4zs5dfgzc9h,D. Beširović,,,5629837773,233,17,5629834831,56,Back,5629834833,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797115173,17,5,1,0,47,7hlumphk42363z3i2nry2wrzj,0,101.0,36.7,2025-04-06T12:05:30.683Z,2025-04-06T12:06:26Z,ay6mgdylpu08d9pydxejbd562,Í. Sigurgeirsson,,,5629837661,346,,5629837657,56,Center,5629837811,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797115169,12,1,1,1,7,5mbo4f0vps12dr0fcvjn3wyp5,0,4.7,48.7,2025-04-06T12:05:51.185Z,2025-04-06T12:05:56Z,a0vo94v0vvnojrnvvscd7zp3p,K. Nordfeldt,,,5629837635,124,,5629837651,74,,5629837645,213,6.01,5629837647,1,,5629837641,141,25.6,5629837643,212,59.0,5629837639,140,58.9,5629837637,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797115187,18,44,1,1,12,7hlumphk42363z3i2nry2wrzj,1,40.0,74.8,2025-04-06T12:05:55.712Z,2025-04-06T12:05:58Z,bfnqlxk0wiv1uy0ptwwqhk9hw,K. Peprah Oppong,,,5629837721,56,Back,5629837723,285,,5629837785,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797115179,13,44,1,1,12,5mbo4f0vps12dr0fcvjn3wyp5,0,61.0,24.8,2025-04-06T12:05:55.713Z,2025-04-06T12:05:57Z,alxccjq2y6il5yjw108a0axnt,J. Hove,,,5629837687,56,Center,5629837863,233,18,5629837689,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797115225,19,1,1,1,12,7hlumphk42363z3i2nry2wrzj,0,36.8,76.0,2025-04-06T12:05:56.033Z,2025-04-06T12:05:58Z,bfnqlxk0wiv1uy0ptwwqhk9hw,K. Peprah Oppong,,,5629837951,1,,5629837945,141,100.0,5629837949,213,0.58,5629837947,212,32.2,5629837941,56,Left,5629837943,140,62.5,5629837939,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797115239,14,5,1,1,13,5mbo4f0vps12dr0fcvjn3wyp5,1,39.8,-1.8,2025-04-06T12:05:57.229Z,2025-04-06T12:06:26Z,alxccjq2y6il5yjw108a0axnt,J. Hove,,,5629838009,56,Back,5629838055,233,20,5629838011,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797115233,20,5,1,1,13,7hlumphk42363z3i2nry2wrzj,0,60.2,101.8,2025-04-06T12:05:57.229Z,2025-04-06T12:06:01Z,bfnqlxk0wiv1uy0ptwwqhk9hw,K. Peprah Oppong,,,5629838107,233,14,5629837971,56,Left,5629837973,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797115613,15,1,1,1,27,5mbo4f0vps12dr0fcvjn3wyp5,0,51.6,0.0,2025-04-06T12:06:11.282Z,2025-04-06T12:06:16Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,,5629839999,1,,5629839993,141,15.0,5629839989,56,Right,5629839991,140,86.9,5629839997,213,0.29,5629839985,107,,5629839995,212,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797115683,21,4,1,1,32,7hlumphk42363z3i2nry2wrzj,1,15.6,87.0,2025-04-06T12:06:16.177Z,2025-04-06T12:06:26Z,bfnqlxk0wiv1uy0ptwwqhk9hw,K. Peprah Oppong,,,5629840555,152,,5629840549,13,,5629840621,233,16,5629840551,295,,5629840553,56,Back,5629840559,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797115649,16,4,1,1,32,5mbo4f0vps12dr0fcvjn3wyp5,0,84.4,13.0,2025-04-06T12:06:16.178Z,2025-04-06T12:06:26Z,azvjk1schroxi2dq22hwnqr1m,A. Kakoullis,,,5629840455,13,,5629840891,233,21,5629840461,152,,5629840463,286,,5629840457,295,,5629840459,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116209,22,1,1,2,0,7hlumphk42363z3i2nry2wrzj,0,17.5,85.4,2025-04-06T12:06:44.385Z,2025-04-06T12:06:49Z,3qlfkqrawehngfhe1zmy1a61g,D. Andersson,,,5629843275,141,65.4,5629843269,152,,5629843267,157,,5629843281,1,,5629843271,56,Center,5629843273,140,69.2,5629843277,212,56.0,5629843265,5,,5629843279,213,6.04,,,,,,,,,,,,,,,,,,,,,,,,
2797116221,17,44,1,2,5,5mbo4f0vps12dr0fcvjn3wyp5,1,30.3,35.0,2025-04-06T12:06:48.545Z,2025-04-06T12:06:56Z,eahcgnvlq1tkswvjuovyzxxw5,F. Benković,,,5629843525,233,23,5629843323,56,Back,5629843325,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116225,23,44,1,2,5,7hlumphk42363z3i2nry2wrzj,0,70.2,64.7,2025-04-06T12:06:48.546Z,2025-04-06T12:06:51Z,8ntq70sdmvbmmvchvu5jd6ndh,C. Nyman,,,5629843537,233,17,5629843365,286,,5629843363,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116241,18,12,1,2,5,5mbo4f0vps12dr0fcvjn3wyp5,1,28.7,36.0,2025-04-06T12:06:49.091Z,2025-04-06T12:10:47Z,eahcgnvlq1tkswvjuovyzxxw5,F. Benković,,,5629843489,213,6.14,5629843481,141,33.6,5629869113,15,,5629843477,140,39.7,5629843473,56,Back,5629843485,212,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797121285,85,44,1,2,6,7hlumphk42363z3i2nry2wrzj,1,66.2,70.0,2025-04-06T12:06:49.442Z,2025-04-06T12:11:23Z,5jv0xmo83g4lbzo8nodqbh46i,J. Ceesay,,,5629873141,233,58,5629873089,56,Center,5629873091,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797121237,58,44,1,2,6,5mbo4f0vps12dr0fcvjn3wyp5,0,34.4,30.0,2025-04-06T12:06:49.443Z,2025-04-06T12:11:23Z,alxccjq2y6il5yjw108a0axnt,J. Hove,,,5629872575,56,Back,5629872577,285,,5629873193,233,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116263,24,1,1,2,7,7hlumphk42363z3i2nry2wrzj,1,59.3,75.0,2025-04-06T12:06:50.422Z,2025-04-06T12:06:51Z,5jv0xmo83g4lbzo8nodqbh46i,J. Ceesay,,,5629843633,141,61.2,5629843627,3,,5629843631,140,67.8,5629843637,213,5.47,5629843629,56,Center,5629843635,212,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116275,25,43,1,2,8,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-04-06T12:06:51.697Z,2025-04-06T12:07:08Z,8ntq70sdmvbmmvchvu5jd6ndh,C. Nyman,,,5629845629,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116351,26,1,1,2,8,7hlumphk42363z3i2nry2wrzj,1,68.0,61.5,2025-04-06T12:06:52.299Z,2025-04-06T12:06:55Z,8ntq70sdmvbmmvchvu5jd6ndh,C. Nyman,,,5629844135,56,Center,5629844137,140,60.5,5629844139,141,28.8,5629844143,213,4.37,5629844141,212,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116407,27,1,1,2,12,7hlumphk42363z3i2nry2wrzj,1,61.0,23.0,2025-04-06T12:06:55.809Z,2025-04-06T12:06:58Z,7a08ravzlia5dhw5dm1q707pw,M. Neffati,,,5629844411,212,12.5,5629844413,213,5.55,5629844405,56,Right,5629844409,141,10.7,5629844407,140,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116473,28,1,1,2,15,7hlumphk42363z3i2nry2wrzj,1,70.8,8.5,2025-04-06T12:06:58.433Z,2025-04-06T12:07:01Z,2k1v6526ielemu1w3rayxdkkq,S. Jørgensen,,,5629844717,141,11.0,5629844713,56,Right,5629844719,212,20.4,5629844715,140,90.2,5629844721,213,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116489,29,1,1,2,17,7hlumphk42363z3i2nry2wrzj,0,94.0,8.5,2025-04-06T12:07:01.393Z,2025-04-06T12:07:02Z,ez7xc7vakt4fmabtp61w72yju,I. Lushaku,,,5629844799,212,5.0,5629844795,141,15.8,5629844803,213,1.40,5629844933,286,,5629844929,233,20,5629844787,2,,5629844791,56,Right,5629844789,155,,5629844793,140,94.8,5629844927,236,,,,,,,,,,,,,,,,,,,,,,
2797116497,20,12,1,2,18,5mbo4f0vps12dr0fcvjn3wyp5,1,5.6,86.9,2025-04-06T12:07:01.493Z,2025-04-06T12:11:55Z,8ez1awevbmegf1z0kgjtp048a,Á. Csongvai,,,5629844849,56,Back,5629844965,233,29,5629844847,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116523,30,61,1,2,19,7hlumphk42363z3i2nry2wrzj,1,94.7,11.7,2025-04-06T12:07:03.166Z,2025-04-06T12:07:03Z,ez7xc7vakt4fmabtp61w72yju,I. Lushaku,,,5629845005,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116591,21,12,1,2,20,5mbo4f0vps12dr0fcvjn3wyp5,1,2.4,76.7,2025-04-06T12:07:03.683Z,2025-04-06T12:07:07Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,,5629845409,213,0.41,5629845543,167,,5629845407,212,43.1,5629845403,141,100.0,5629845397,56,Back,5629845399,140,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116601,22,5,1,2,22,5mbo4f0vps12dr0fcvjn3wyp5,0,40.3,101.7,2025-04-06T12:07:06.289Z,2025-04-06T12:28:38Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,,5629846011,233,31,5629845443,56,Back,5629845449,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116689,31,5,1,2,22,7hlumphk42363z3i2nry2wrzj,1,59.7,-1.7,2025-04-06T12:07:06.289Z,2025-04-06T12:07:12Z,ez7xc7vakt4fmabtp61w72yju,I. Lushaku,,,5629845913,347,,5629845963,233,22,5629845909,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116827,33,1,1,2,32,7hlumphk42363z3i2nry2wrzj,1,59.8,0.0,2025-04-06T12:07:15.475Z,2025-04-06T12:12:08Z,7a08ravzlia5dhw5dm1q707pw,M. Neffati,,,5629846695,213,0.71,5629846689,140,67.8,5629846691,141,8.9,5629846693,212,11.1,5629846687,56,Right,5629877647,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116835,34,50,1,2,34,7hlumphk42363z3i2nry2wrzj,1,65.4,6.8,2025-04-06T12:07:17.713Z,2025-04-06T12:07:22Z,2k1v6526ielemu1w3rayxdkkq,S. Jørgensen,,,5629847091,233,23,5629846751,286,,5629846747,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116897,23,7,1,2,34,5mbo4f0vps12dr0fcvjn3wyp5,0,34.6,93.2,2025-04-06T12:07:17.714Z,2025-04-06T12:07:23Z,6oaqk4pdojnlefa3zubsysmvp,J. Uronen,,,5629847003,56,Back,5629847047,233,34,5629847005,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116931,35,1,1,2,35,7hlumphk42363z3i2nry2wrzj,1,63.7,13.4,2025-04-06T12:07:19.137Z,2025-04-06T12:07:22Z,5jv0xmo83g4lbzo8nodqbh46i,J. Ceesay,,,5629847205,141,2.2,5629847209,213,4.06,5629847201,140,58.2,5629847199,56,Right,5629847207,212,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797116947,36,1,1,2,38,7hlumphk42363z3i2nry2wrzj,1,58.2,2.2,2025-04-06T12:07:21.953Z,2025-04-06T12:07:23Z,7a08ravzlia5dhw5dm1q707pw,M. Neffati,,,5629847279,141,21.9,5629847277,140,37.6,5629847281,212,25.4,5629847283,213,2.59,5629847275,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797117019,37,1,1,2,39,7hlumphk42363z3i2nry2wrzj,1,37.6,21.9,2025-04-06T12:07:23.217Z,2025-04-06T12:07:26Z,4er21aspnwqojlenu6lhc2b4l,M. Watson,,,5629847605,140,13.9,5629847611,213,2.50,5629847607,141,49.0,5629847603,56,Back,5629847609,212,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
