id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2822548697,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-06-14T15:10:59.618Z,2025-06-14T15:57:49Z,,,,,5770606727,30,"aoa60lf22i1v66vmyf7sfiay, 64pptq46unjnsxn6wc3avhtec, 3xtbzw2dg5my9jn99xqh5gdpm, u8remrfu8ug41xu71brhukmh, b7594v117himyndjrpkval8us, 2lsv3xzudv78cddzsvl76zgx6, 7mtrb2q1po3bwtkfp1w4w2qxh, 10qxrh1rh7uyhtm3scj8glqs, f5f9sfvtizyppg8kqtmp9y3ca, 1iyf79yql5sm8m6i8nwxntsve, 4ciqzc2b0xfc24hha0bnp3eqy, 8tzmahdp1kkbot7nulpirqhh, eyxig53mzy4qlf208vpchs7is, eklpacb4xe0yb13zxi642gys4, 8v9ms04dm6d99xb9lt5qdk74k, 36gi7l0qvkbru5w6v2nym00ve, 4zizd9804wk2k5v0l7ph0u0kq, 1nysj6xb60fhhjhtle8pakbo4, bboslspmgrlysvtol90dpfzzd, 46ums24te70jl5qclztg8xhwp",5770606729,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5770606733,130,4,5770606737,197,23737,5770606735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770606739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770607369,194,2lsv3xzudv78cddzsvl76zgx6,5770606731,59,"90, 35, 33, 8, 30, 4, 23, 6, 18, 10, 11, 28, 14, 80, 43, 20, 16, 21, 15, 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822548841,1,34,16,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-06-14T15:12:36.555Z,2025-06-14T16:42:26Z,,,,,5770607633,197,18882,5770607629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5770607627,130,12,5770607625,59,"77, 6, 7, 23, 19, 29, 21, 34, 11, 10, 20, 14, 27, 17, 26, 22, 3, 31, 18",5770607623,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5770607635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770607621,30,"6i2n7bcfphn89v0eccet2fop, 72d57i3mfqxtbsmm196kdv0fd, eaa9sktij53071abummj4pkwk, 7zztpnbw4cfyw6q231nqy8nv9, 1zud0qdtf6c6wzkgqhz6b94a1, 1t44y6xzubkclt6i6nzgkgr1l, 5ynhzqvpks5u5bjgno6snhyzu, 9ka422rjynvrx4kofh5q8ivop, ebhnuikcvtrbmw5e80r1fds2y, ec7y1s97xpoab87z786zt0r56, 80mvshlrrlu5vt41gkruwn8fe, 84wint64ygxx3pi5fz3mr12j8, 9julhxqc94tmamhicz9gfysyc, bn62iwa6vrs5z6ow9q2kpq590, 9mki2meutffzyo7nd0zo94zkk, 3eoljk5s3ohabqzfydfp4xses, di62c8bxsf1t8jrhzu47qb7u2, bbp11n61bl9mjlis2ulxub66s, 9ihsujntesz6gck21nfrch72s",5770607631,194,5ynhzqvpks5u5bjgno6snhyzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552435,2,32,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-06-14T16:00:09.299Z,2025-06-14T16:00:09Z,,,,,5770627695,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552443,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-06-14T16:00:09.299Z,2025-06-14T16:00:10Z,,,,,5770627713,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552447,3,1,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,50.1,50.0,2025-06-14T16:00:09.300Z,2025-06-14T16:00:12Z,u8remrfu8ug41xu71brhukmh,S. Dahlström,,,5770627731,140,29.6,5770627733,141,60.0,5770627729,56,Back,5770627739,279,S,5770627735,212,22.6,5770627737,213,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552451,4,1,1,0,3,3ptum5fjcgw51mqui0gu6uuf4,0,31.0,58.2,2025-06-14T16:00:12.907Z,2025-06-14T16:00:15Z,2lsv3xzudv78cddzsvl76zgx6,P. Lindgren,,,5770627761,140,70.2,5770627757,157,,5770627759,56,Center,5770627767,213,5.75,5770627765,212,47.8,5770627769,1,,5770627763,141,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552455,3,12,1,0,7,duspptyvnr5kpx2iko5gerhnz,1,31.3,78.5,2025-06-14T16:00:16.806Z,2025-06-14T16:00:17Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,,5770627791,213,0.41,5770627797,15,,5770627783,56,Back,5770627789,212,8.6,5770627785,140,38.8,5770627787,141,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552467,6,61,1,0,10,3ptum5fjcgw51mqui0gu6uuf4,0,64.3,17.4,2025-06-14T16:00:19.883Z,2025-06-14T16:00:33Z,64pptq46unjnsxn6wc3avhtec,E. Toivonen,,,5770627859,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552465,5,4,1,0,11,duspptyvnr5kpx2iko5gerhnz,1,35.4,88.4,2025-06-14T16:00:20.650Z,2025-06-14T17:02:27Z,9ka422rjynvrx4kofh5q8ivop,A. Räisänen,,,5770627831,13,,5770627839,286,,5770627835,152,,5770627837,265,,5770627833,56,Back,5770627847,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552461,5,4,1,0,11,3ptum5fjcgw51mqui0gu6uuf4,0,64.6,11.6,2025-06-14T16:00:20.651Z,2025-06-14T17:02:28Z,64pptq46unjnsxn6wc3avhtec,E. Toivonen,,,5770627855,285,,5770627841,13,,5770627851,233,5,5770627845,265,,5770627843,152,,5770627813,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552463,4,43,1,0,11,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-06-14T16:00:20.652Z,2025-06-14T16:00:29Z,9ka422rjynvrx4kofh5q8ivop,A. Räisänen,,,5770627857,144,7,5770627817,56,Back,5770627819,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552517,6,1,1,0,39,duspptyvnr5kpx2iko5gerhnz,0,34.2,83.3,2025-06-14T16:00:48.870Z,2025-06-14T16:00:59Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,,5770628091,212,70.0,5770628087,140,100.0,5770628085,56,Center,5770628151,157,,5770628079,5,,5770628089,141,74.4,5770628095,213,6.20,5770628097,1,,5770628083,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552521,7,5,1,0,43,3ptum5fjcgw51mqui0gu6uuf4,1,-0.6,29.8,2025-06-14T16:00:52.667Z,2025-06-14T16:01:06Z,b7594v117himyndjrpkval8us,E. Okereke,,,5770628107,233,7,5770628099,56,Back,5770628101,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552523,7,5,1,0,43,duspptyvnr5kpx2iko5gerhnz,0,100.6,70.2,2025-06-14T16:00:52.667Z,2025-06-14T16:01:06Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,,5770628105,346,,5770628103,56,Center,5770628115,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552561,8,1,1,1,1,3ptum5fjcgw51mqui0gu6uuf4,0,5.0,58.1,2025-06-14T16:01:11.115Z,2025-06-14T16:01:16Z,aoa60lf22i1v66vmyf7sfiay,Dylan Silva,,,5770628315,1,,5770628303,124,,5770628319,74,,5770628309,141,76.3,5770628307,140,60.2,5770628313,213,0.21,5770628305,56,Center,5770628311,212,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552567,8,44,1,1,6,duspptyvnr5kpx2iko5gerhnz,1,44.2,21.2,2025-06-14T16:01:15.642Z,2025-06-14T16:01:20Z,5ynhzqvpks5u5bjgno6snhyzu,P. Ahiabu,,,5770628353,233,9,5770628337,56,Back,5770628357,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552565,9,44,1,1,6,3ptum5fjcgw51mqui0gu6uuf4,0,55.8,78.8,2025-06-14T16:01:15.643Z,2025-06-14T16:01:20Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,,5770628333,56,Center,5770628335,286,,5770628361,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552579,9,1,1,1,7,duspptyvnr5kpx2iko5gerhnz,0,50.7,17.3,2025-06-14T16:01:16.616Z,2025-06-14T16:01:20Z,5ynhzqvpks5u5bjgno6snhyzu,P. Ahiabu,,,5770628423,213,0.04,5770628413,3,,5770628417,140,66.0,5770628421,212,16.1,5770628415,56,Right,5770628419,141,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552573,10,1,1,1,7,3ptum5fjcgw51mqui0gu6uuf4,1,42.9,74.2,2025-06-14T16:01:17.292Z,2025-06-14T16:02:55Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5770628381,212,18.3,5770628379,141,75.9,5770628375,56,Center,5770628377,140,60.3,5770628383,213,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552575,11,1,1,1,9,3ptum5fjcgw51mqui0gu6uuf4,1,57.6,87.1,2025-06-14T16:01:18.554Z,2025-06-14T16:03:55Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,,5770628393,212,6.1,5770628387,56,Left,5770628389,140,59.4,5770628399,156,,5770628395,213,1.26,5770628391,141,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553209,54,1,1,1,10,3ptum5fjcgw51mqui0gu6uuf4,1,54.7,85.7,2025-06-14T16:01:19.629Z,2025-06-14T16:04:29Z,7mtrb2q1po3bwtkfp1w4w2qxh,J. van der Heyden,,,5770632033,56,Left,5770632041,213,1.25,5770632039,212,6.9,5770632035,140,56.8,5770632037,141,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552583,10,45,1,1,11,duspptyvnr5kpx2iko5gerhnz,0,44.6,16.8,2025-06-14T16:01:20.886Z,2025-06-14T17:02:30Z,72d57i3mfqxtbsmm196kdv0fd,T. Dekker,,,5770628441,56,Back,5770628497,233,12,5770628443,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552591,12,3,1,1,11,3ptum5fjcgw51mqui0gu6uuf4,1,55.4,83.2,2025-06-14T16:01:20.886Z,2025-06-14T17:02:30Z,4ciqzc2b0xfc24hha0bnp3eqy,J. Reid,,,5770628477,233,10,5770628475,286,,5770628473,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552599,13,1,1,1,13,3ptum5fjcgw51mqui0gu6uuf4,0,55.5,87.8,2025-06-14T16:01:22.571Z,2025-06-14T16:01:23Z,4ciqzc2b0xfc24hha0bnp3eqy,J. Reid,,,5770628515,56,Center,5770628517,140,58.5,5770628521,212,7.1,5770628519,141,78.5,5770628523,213,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552601,11,1,1,1,13,duspptyvnr5kpx2iko5gerhnz,0,45.1,21.5,2025-06-14T16:01:22.582Z,2025-06-14T16:01:24Z,5ynhzqvpks5u5bjgno6snhyzu,P. Ahiabu,,,5770628529,140,81.3,5770628533,212,41.1,5770628527,56,Right,5770628525,157,,5770628531,141,0.0,5770628537,1,,5770628535,213,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552603,12,5,1,1,14,duspptyvnr5kpx2iko5gerhnz,0,78.4,-1.8,2025-06-14T16:01:24.129Z,2025-06-14T16:01:27Z,5ynhzqvpks5u5bjgno6snhyzu,P. Ahiabu,,,5770628539,56,Right,5770628569,233,14,5770628541,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552607,14,5,1,1,14,3ptum5fjcgw51mqui0gu6uuf4,1,21.6,101.8,2025-06-14T16:01:24.129Z,2025-06-14T16:14:26Z,4ciqzc2b0xfc24hha0bnp3eqy,J. Reid,,,5770628555,56,Back,5770628557,347,,5770628563,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552641,15,1,1,1,24,3ptum5fjcgw51mqui0gu6uuf4,1,55.5,100.0,2025-06-14T16:01:33.963Z,2025-06-14T16:01:42Z,3xtbzw2dg5my9jn99xqh5gdpm,D. Enqvist,,,5770628717,212,16.9,5770628715,141,88.6,5770628719,213,3.71,5770628709,107,,5770628713,140,41.9,5770628837,189,,5770628711,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552643,16,1,1,1,25,3ptum5fjcgw51mqui0gu6uuf4,1,41.9,88.6,2025-06-14T16:01:34.891Z,2025-06-14T16:01:35Z,u8remrfu8ug41xu71brhukmh,S. Dahlström,,,5770628727,141,95.6,5770628725,140,47.7,5770628729,212,7.7,5770628723,56,Back,5770628731,213,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552651,17,1,1,1,26,3ptum5fjcgw51mqui0gu6uuf4,1,47.7,95.6,2025-06-14T16:01:35.787Z,2025-06-14T16:01:38Z,3xtbzw2dg5my9jn99xqh5gdpm,D. Enqvist,,,5770628765,212,8.0,5770628767,213,3.56,5770628763,141,90.8,5770628761,140,40.7,5770628759,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552655,18,4,1,1,28,3ptum5fjcgw51mqui0gu6uuf4,1,38.2,84.6,2025-06-14T16:01:38.267Z,2025-06-14T17:02:28Z,u8remrfu8ug41xu71brhukmh,S. Dahlström,,,5770628801,286,,5770628793,13,,5770628797,152,,5770628829,233,13,5770628795,56,Back,5770628799,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552663,13,4,1,1,28,duspptyvnr5kpx2iko5gerhnz,0,61.8,15.4,2025-06-14T16:01:38.268Z,2025-06-14T17:02:28Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,,5770628819,13,,5770628821,56,Right,5770628823,152,,5770628825,265,,5770628827,285,,5770628833,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552677,19,1,1,1,38,3ptum5fjcgw51mqui0gu6uuf4,1,37.1,89.0,2025-06-14T16:01:47.706Z,2025-06-14T16:01:50Z,2lsv3xzudv78cddzsvl76zgx6,P. Lindgren,,,5770628911,56,Back,5770628919,213,4.41,5770628915,141,47.6,5770628917,212,29.5,5770628913,140,28.8,5770628907,5,,5770628909,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552681,20,1,1,1,41,3ptum5fjcgw51mqui0gu6uuf4,1,30.1,43.9,2025-06-14T16:01:50.491Z,2025-06-14T16:01:53Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5770628941,212,24.1,5770628937,140,31.6,5770628935,56,Back,5770628943,213,4.78,5770628939,141,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552695,21,1,1,1,43,3ptum5fjcgw51mqui0gu6uuf4,1,29.5,9.4,2025-06-14T16:01:53.035Z,2025-06-14T16:01:56Z,b7594v117himyndjrpkval8us,E. Okereke,,,5770629011,141,4.3,5770629015,213,5.93,5770629007,56,Back,5770629013,212,10.1,5770629009,140,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552699,22,1,1,1,47,3ptum5fjcgw51mqui0gu6uuf4,0,36.8,8.0,2025-06-14T16:01:56.459Z,2025-06-14T16:01:57Z,64pptq46unjnsxn6wc3avhtec,E. Toivonen,,,5770629033,140,54.7,5770629039,213,0.07,5770629031,56,Right,5770629035,141,9.8,5770629037,212,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552713,15,1,1,1,49,duspptyvnr5kpx2iko5gerhnz,1,39.1,83.9,2025-06-14T16:01:59.030Z,2025-06-14T16:02:01Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,,5770629083,212,24.8,5770629077,56,Left,5770629085,213,6.18,5770629079,140,62.6,5770629081,141,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552715,16,1,1,1,51,duspptyvnr5kpx2iko5gerhnz,0,68.4,88.3,2025-06-14T16:02:01.142Z,2025-06-14T16:08:38Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,,5770629091,140,64.3,5770629097,213,3.75,5770629095,212,5.2,5770629093,141,83.9,5770629089,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552711,23,8,1,1,52,3ptum5fjcgw51mqui0gu6uuf4,1,30.1,9.7,2025-06-14T16:02:01.907Z,2025-06-14T16:04:20Z,64pptq46unjnsxn6wc3avhtec,E. Toivonen,,,5770629075,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552737,25,1,1,1,53,3ptum5fjcgw51mqui0gu6uuf4,1,26.8,10.6,2025-06-14T16:02:02.475Z,2025-06-14T16:02:04Z,b7594v117himyndjrpkval8us,E. Okereke,,,5770629185,213,6.12,5770629177,56,Back,5770629179,140,47.4,5770629183,212,21.9,5770629181,141,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552739,26,3,1,1,55,3ptum5fjcgw51mqui0gu6uuf4,0,57.1,6.7,2025-06-14T16:02:04.779Z,2025-06-14T16:02:05Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5770629201,56,Right,5770629203,286,,5770629219,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552769,18,1,1,1,59,duspptyvnr5kpx2iko5gerhnz,1,44.1,87.2,2025-06-14T16:02:09.014Z,2025-06-14T16:02:11Z,9ka422rjynvrx4kofh5q8ivop,A. Räisänen,,,5770629353,213,3.15,5770629349,141,87.1,5770629345,56,Back,5770629351,212,12.2,5770629347,140,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552785,19,1,1,2,1,duspptyvnr5kpx2iko5gerhnz,1,29.7,88.4,2025-06-14T16:02:11.190Z,2025-06-14T16:02:17Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,,5770629447,212,11.8,5770629445,141,91.4,5770629449,213,0.17,5770629443,140,40.8,5770629441,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552787,20,61,1,2,6,duspptyvnr5kpx2iko5gerhnz,0,37.1,95.3,2025-06-14T16:02:15.463Z,2025-06-14T16:02:20Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,,5770629453,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552791,21,5,1,2,8,duspptyvnr5kpx2iko5gerhnz,0,38.4,100.8,2025-06-14T16:02:17.348Z,2025-06-14T16:14:26Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,,5770629515,233,27,5770629479,56,Back,5770629481,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552783,27,5,1,2,8,3ptum5fjcgw51mqui0gu6uuf4,1,61.6,-0.8,2025-06-14T16:02:17.348Z,2025-06-14T16:04:12Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5770629409,56,Right,5770629491,233,21,5770629411,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552807,28,1,1,2,11,3ptum5fjcgw51mqui0gu6uuf4,1,58.3,0.0,2025-06-14T16:02:20.475Z,2025-06-14T16:02:23Z,64pptq46unjnsxn6wc3avhtec,E. Toivonen,,,5770629595,212,13.3,5770629597,213,0.35,5770629589,56,Right,5770629587,107,,5770629593,141,4.7,5770629591,140,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552811,29,61,1,2,14,3ptum5fjcgw51mqui0gu6uuf4,0,70.2,4.7,2025-06-14T16:02:23.483Z,2025-06-14T16:02:23Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5770629607,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552813,22,5,1,2,14,duspptyvnr5kpx2iko5gerhnz,1,32.0,102.0,2025-06-14T16:02:23.610Z,2025-06-14T16:14:26Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,,5770629625,233,30,5770629617,347,,5770629615,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552817,30,5,1,2,14,3ptum5fjcgw51mqui0gu6uuf4,0,68.0,-2.0,2025-06-14T16:02:23.610Z,2025-06-14T16:14:27Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5770629621,56,Right,5770629639,233,22,5770629623,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552849,23,1,1,2,20,duspptyvnr5kpx2iko5gerhnz,0,36.7,100.0,2025-06-14T16:02:30.103Z,2025-06-14T16:02:33Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,,5770629799,212,21.8,5770629795,140,54.0,5770629797,141,84.2,5770629793,56,Left,5770629801,213,5.70,5770629791,107,,5770629803,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552847,31,8,1,2,24,3ptum5fjcgw51mqui0gu6uuf4,1,39.7,7.4,2025-06-14T16:02:33.451Z,2025-06-14T16:02:33Z,b7594v117himyndjrpkval8us,E. Okereke,,,5770629807,15,,5770629789,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552863,33,1,1,2,27,3ptum5fjcgw51mqui0gu6uuf4,1,28.6,31.8,2025-06-14T16:02:36.796Z,2025-06-14T16:02:38Z,2lsv3xzudv78cddzsvl76zgx6,P. Lindgren,,,5770629885,141,46.9,5770629887,212,22.6,5770629881,56,Back,5770629889,213,2.67,5770629883,140,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552879,34,1,1,2,29,3ptum5fjcgw51mqui0gu6uuf4,1,9.3,45.1,2025-06-14T16:02:38.860Z,2025-06-14T16:02:42Z,aoa60lf22i1v66vmyf7sfiay,Dylan Silva,,,5770629953,56,Back,5770629961,213,5.21,5770629959,212,31.3,5770629957,141,4.7,5770629955,140,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552887,35,1,1,2,33,3ptum5fjcgw51mqui0gu6uuf4,1,25.5,3.2,2025-06-14T16:02:42.668Z,2025-06-14T16:02:46Z,b7594v117himyndjrpkval8us,E. Okereke,,,5770630021,56,Right,5770630019,155,,5770630029,213,0.10,5770630027,212,29.9,5770630025,141,7.6,5770630023,140,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552899,36,1,1,2,36,3ptum5fjcgw51mqui0gu6uuf4,1,55.9,7.7,2025-06-14T16:02:45.980Z,2025-06-14T16:02:47Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,,5770630091,213,4.11,5770630083,56,Right,5770630089,212,2.8,5770630087,141,4.3,5770630085,140,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552911,24,83,1,2,37,duspptyvnr5kpx2iko5gerhnz,0,30.3,70.2,2025-06-14T16:02:47.039Z,2025-06-14T16:11:32Z,9ka422rjynvrx4kofh5q8ivop,A. Räisänen,,,5770630223,399,1iyf79yql5sm8m6i8nwxntsve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552905,37,1,1,2,38,3ptum5fjcgw51mqui0gu6uuf4,1,56.0,4.3,2025-06-14T16:02:47.627Z,2025-06-14T16:02:49Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5770630117,213,6.23,5770630115,212,6.3,5770630113,141,3.8,5770630109,56,Right,5770630111,140,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552915,38,1,1,2,40,3ptum5fjcgw51mqui0gu6uuf4,1,60.2,3.7,2025-06-14T16:02:49.467Z,2025-06-14T16:02:50Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,,5770630149,141,9.4,5770630145,56,Right,5770630147,140,56.7,5770630151,212,5.3,5770630153,213,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552919,39,1,1,2,40,3ptum5fjcgw51mqui0gu6uuf4,0,56.7,9.4,2025-06-14T16:02:50.203Z,2025-06-14T16:02:50Z,7mtrb2q1po3bwtkfp1w4w2qxh,J. van der Heyden,,,5770630167,213,3.76,5770630165,212,7.1,5770630161,140,51.2,5770630159,56,Right,5770630163,141,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
